imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0009937,Mariti ciechi,Blind Husbands,1919,1924-02-06,"Drama, Romance",99,USA,English,Erich von Stroheim,"Erich von Stroheim, Erich von Stroheim",Universal Film Manufacturing Company,"Sam De Grasse, Francelia Billington, Erich von Stroheim, Gibson Gowland, Fay Holderness, Ruby Kendrick, Valerie Germonprez, Jack Perrin, Richard Cummings, Louis Fitzroy, William De Vaull, Jack Mathis, Percy Challenger",An Austrian officer sets out to seduce a neglected young wife.,7,1325,$ 42000,"","",,12,17,7,99.3398776965363,700
tt0010953,Algol - Tragödie der Macht,Algol - Tragödie der Macht,1920,1921-11-07,"Fantasy, Sci-Fi",99,Germany,"",Hans Werckmeister,"Hans Brennert, Friedel Köhne",Deutsche Lichtbild-Gesellschaft e.V. (DLG),"Emil Jannings, John Gottowt, Hans Adalbert Schlettow, Hanna Ralph, Erna Morena, Ernst Hofmann, Gertrude Welcker, Käthe Haack, Sebastian Droste",An alien from the planet Algol gives a man a device that gives him superpowers.,6.3,138,"","","",,5,7,6.3,91.7080106301967,630
tt0012763,La pazienza di Davide,Tol'able David,1921,1921-12-31,Drama,99,USA,"",Henry King,"Joseph Hergesheimer, Edmund Goulding",Inspiration Pictures,"Richard Barthelmess, Gladys Hulette, Walter P. Lewis, Ernest Torrence, Ralph Yearsley, Forrest Robinson, Laurence Eddinger, Edmund Gurney, Warner Richmond, Marion Abbott, Patterson Dial, Henry Hallam, Lassie","When three thuggish men are responsible for the death of his father and the crippling of his brother, young David must choose between supporting his family or risking his life and exacting vengeance.",6.8,1722,"","","",,15,7,6.8,96.9194811759236,680
tt0014416,Rosita,Rosita,1923,1923-09-03,"Romance, Comedy",99,USA,English,"Ernst Lubitsch, Raoul Walsh","Philippe Dumanoir, Norbert Falk",Mary Pickford Company,"Mary Pickford, Holbrook Blinn, Irene Rich, George Walsh, Charles Belcher, Frank Leigh, Mathilde Comont, George Periolat, Bert Sprotte, Snitz Edwards, Madame De Bodamere, Philippe De Lacy, Donald McAlpin, Doreen Turner, Mario Carillo","Rosita, a peasant singer in Seville, captures the attention of the King.",6.5,269,"","","",,4,3,6.5,91.4764742178499,650
tt0017667,The Beloved Rogue,The Beloved Rogue,1927,1927-03-12,"Adventure, Drama, History",99,USA,English,Alan Crosland,"Paul Bern, George Marion Jr.",Feature Productions,"John Barrymore, Conrad Veidt, Marceline Day, Lawson Butt, Henry Victor, Slim Summerville, Mack Swain, Angelo Rossitto, Nigel De Brulier, Lucy Beaumont, Otto Matieson, Jane Winton, Rose Dione, Bertram Grassby, Dick Sutherland","François Villon, in his lifetime the most renowned poet in France, is also a prankster, an occasional criminal, and an ardent patriot.",6.9,701,"","","",,14,6,6.9,100.757006717451,690
tt0019824,Trafalgar,The Divine Lady,1928,1928-12-26,"Drama, History, Romance",99,USA,English,Frank Lloyd,"E. Barrington, Forrest Halsey",First National Pictures,"Corinne Griffith, Victor Varconi, H.B. Warner, Ian Keith, Marie Dressler, Montagu Love, William Conklin, Dorothy Cumming, Michael Vavitch, Evelyn Hall, Helen Jerome Eddy","The story of the romance between Emma, Lady Hamilton, and British war hero Admiral Horatio Nelson.",6.2,651,"","","",,16,8,6.2,87.419898018681,620
tt0020842,La sirenetta dell'autostrada,Die Drei von der Tankstelle,1930,1930-10-02,"Comedy, Musical, Romance",99,Germany,German,Wilhelm Thiele,"Franz Schulz, Paul Frank",Universum Film (UFA),"Lilian Harvey, Willy Fritsch, Oskar Karlweis, Heinz Rühmann, Fritz Kampers, Olga Tschechowa, Kurt Gerron, Gertrud Wolle, Felix Bressart, Leo Monosson, Lewis Ruth Band, Comedian Harmonists, Robert Biberti, Erwin Bootz, Erich A. Collin","Willy, Kurt and Hans are broke, so they sell their car and open a filling station. Then they all fall in love with the same girl.",6.6,734,"","","",,9,3,6.6,94.1373030930401,660
tt0021025,Il re del jazz,King of Jazz,1930,1930-04-20,"Animation, Comedy, Music",99,USA,English,"John Murray Anderson, Walter Lantz",Harry Ruskin,Universal Pictures,"Paul Whiteman, John Boles, Laura La Plante, Jeanette Loff, Glenn Tryon, William Kent, Slim Summerville, The Rhythm Boys, Kathryn Crawford, Carla Laemmle, Stanley Smith, George Chiles, Jack White, Frank Leslie, Walter Brennan",American Pre-Code color film starring Paul Whiteman and his Jazz orchestra.,6.7,1039,$ 2000000,"","",,38,28,6.7,92.8141879620715,670
tt0021040,Femmine di lusso,Ladies of Leisure,1930,1930-04-05,"Drama, Romance",99,USA,English,Frank Capra,"Milton Herbert Gropper, Jo Swerling",Columbia Pictures,"Barbara Stanwyck, Ralph Graves, Lowell Sherman, Marie Prevost, Nance O'Neil, George Fawcett, Juliette Compton, Johnnie Walker",An upper-crust artist hires a 'party girl' as a model; romance follows.,6.7,1038,"","","",,29,19,6.7,91.3512022512607,670
tt0023486,Skyscraper Souls,Skyscraper Souls,1932,1932-07-16,"Drama, Romance",99,USA,English,Edgar Selwyn,"Faith Baldwin, C. Gardner Sullivan",Cosmopolitan Productions,"Warren William, Maureen O'Sullivan, Gregory Ratoff, Anita Page, Verree Teasdale, Norman Foster, George Barbier, Jean Hersholt, Wallace Ford, Hedda Hopper, Helen Coburn, John Marston",An entrepreneur will let nothing stand in his way of acquiring a 100-story office building.,7.2,684,"","","",,28,19,7.2,102.365507956569,720
