imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0024073,The Good Companions,The Good Companions,1933,1935-11-05,"Comedy, Musical, Romance",Unknown,UK,English,Victor Saville,"Ian Dalrymple, Edward Knoblock",Gaumont British Picture Corporation,"Jessie Matthews, Edmund Gwenn, John Gielgud, Mary Glynne, Percy Parsons, A.W. Baskcomb, Florence Gregson, Frank Pettingell, Lawrence Hanray, Annie Esmond, George Zucco, Harold Meade, J. Fisher White, Muriel Aked, Arnold Riches","Musical taken from J.B. Priestley's novel about three musicians joining together to save a failing concert party, the Dinky Doos.",6.9,175,"","","",,7,3,6.9,97.268892057602,690
tt0024075,Goodbye Again,Goodbye Again,1933,1933-09-09,"Comedy, Romance",Unknown,USA,English,Michael Curtiz,"George Haight, Allan Scott",First National Pictures,"Warren William, Joan Blondell, Genevieve Tobin, Hugh Herbert, Wallace Ford, Helen Chandler, Hobart Cavanaugh, Ray Cooke, Jay Ward, Ruth Donnelly, Ferdinand Gottschalk",Flirtatious mix-ups abound when a celebrated novelist tangles with an old flame and her irate husband in Cleveland. Will his savvy secretary save his neck if she is secretly in love with him also?,6.3,411,"","","",,9,7,6.3,83.1202809639958,630
tt0024078,Il giocatore,Grand Slam,1933,1933-03-18,Comedy,Unknown,USA,"English, Russian","William Dieterle, Alfred E. Green","Erwin Gelsey, David Boehm",First National Pictures,"Paul Lukas, Loretta Young, Frank McHugh, Glenda Farrell, Helen Vinson, Roscoe Karns, Ferdinand Gottschalk","Because the Stanislavsky method of playing bridge has no rules, it promotes marital harmony for those who stick with it.",5.7,261,$ 164000,"","",,14,3,5.7,78.850369062296,570
tt0024083,Hallelujah I'm a Bum,Hallelujah I'm a Bum,1933,1933-02-03,"Comedy, Drama, Musical",Unknown,USA,English,Lewis Milestone,"Ben Hecht, S.N. Behrman",Lewis Milestone Productions,"Al Jolson, Madge Evans, Frank Morgan, Harry Langdon, Chester Conklin, Tyler Brooke, Tammany Young, Bert Roach, Edgar Connor, Dorothea Wolbert, Louise Carver",A New York tramp (Jolson) falls in love with the mayor's amnesiac girlfriend after rescuing her from a suicide attempt,6.9,731,"","","",,27,10,6.9,94.5287472486142,690
tt0024087,Uno dei tanti,Hans Westmar,1933,1938,Biography,Unknown,Germany,German,Franz Wenzler,"Hanns Heinz Ewers, Hanns Heinz Ewers",Volksdeutsche Film,"Emil Lohkamp, Paul Wegener, Heinrich Heilinger, Irmgard Willers, Otti Dietze, Carla Bartheel, Gertrude De Lalsky, Grete Reinwald, Wilhelm Diegelmann, Heinz Salfner, Robert Thiem, Arthur Schröder, Hanns Heinz Ewers, Carl Auen, Richard Fiedler","This Nazi propaganda film purports to show the story of a Nazi Storm Trooper named Horst Wessel--here called """"Hans Westmar""""--who took part in street brawls and assassinations in Berlin in ...",6,1330,"","","",,6,1,6,81.7352579024914,600
tt0024090,L'affare si complica,Hard to Handle,1933,1933-01-28,"Comedy, Romance",Unknown,USA,English,Mervyn LeRoy,"Robert Lord, Wilson Mizner",Warner Bros.,"James Cagney, Mary Brian, Allen Jenkins, Ruth Donnelly, Claire Dodd, Robert McWade",Small time con artist Lefty Merrill has co-organized a crooked dance marathon and set-up his girlfriend to win the prize money. When his partner disappears with money before the contest is ...,6.7,653,$ 189000,"","",,15,12,6.7,96.5205116835026,670
tt0024092,Havana Widows,Havana Widows,1933,1933-11-18,Comedy,Unknown,USA,"English, Spanish",Ray Enright,Earl Baldwin,First National Pictures,"Joan Blondell, Glenda Farrell, Guy Kibbee, Allen Jenkins, Lyle Talbot, Frank McHugh, Ruth Donnelly, Hobart Cavanaugh, Ralph Ince, Maude Eburne, George Cooper, Charles C. Wilson",Two golddiggers go fishing for millionaires in Havana.,6.3,446,"","","",,14,6,6.3,88.9649901390404,630
tt0024097,Headline Shooter,Headline Shooter,1933,1933-07-28,"Adventure, Crime, Drama",Unknown,USA,English,Otto Brower,"Agnes Christine Johnston, Allen Rivkin",RKO Radio Pictures,"William Gargan, Frances Dee, Ralph Bellamy, Jack La Rue, Gregory Ratoff, Wallace Ford, Robert Benchley, Betty Furness, Hobart Cavanaugh, June Brewster, Franklin Pangborn, Dorothy Burgess",The adventures of a wayward newsreel cameraman.,6.1,146,"","","",,5,5,6.1,82.8739297542393,610
tt0024100,Hell Below,Hell Below,1933,1933-06-09,"Romance, Drama, War",Unknown,USA,"English, German, Italian",Jack Conway,"Laird Doyle, Raymond L. Schrock",Metro-Goldwyn-Mayer (MGM),"Robert Montgomery, Walter Huston, Madge Evans, Jimmy Durante, Eugene Pallette, Robert Young, Edwin Styles, John Lee Mahin, David Newell, Sterling Holloway, Charles Irwin","In 1918, U.S. Navy Lt. Tommy Knowlton participates in dangerous submarine missions, disobeys orders, gets court-martialed and romances a married woman who happens to be his C.O.'s daughter.",6.6,432,$ 895000,"","",,15,5,6.6,91.0127894872627,660
tt0024104,Scendendo lungo Broadway,"Hello, Sister!",1933,1933-04-14,"Drama, Romance",Unknown,USA,English,"Alan Crosland, Erich von Stroheim","Dawn Powell, Erich von Stroheim",Fox Film Corporation,"James Dunn, Zasu Pitts, Boots Mallory, Minna Gombell, Terrance Ray, Will Stanton, Henry Kolker, Walter Walker, Astrid Allwyn, Claude King, Wade Boteler, James Flavin","Peggy and her friend Millie are strolling down Broadway while Jimmy and Mac are trolling Broadway, and the four get together. Jimmy and Peggy get together in many romantic ways and Peggy ...",6.7,127,"","","",,7,3,6.7,90.7034744035082,670
tt0024120,La donna della retata,Hijôsen no onna,1933,1933-04-27,"Crime, Drama, Romance",Unknown,Japan,Japanese,Yasujirô Ozu,"Tadao Ikeda, Yasujirô Ozu",Shochiku,"Kinuyo Tanaka, Jôji Oka, Sumiko Mizukubo, Kôji Mitsui, Yumeko Aizome, Yoshio Takayama, Koji Kaga, Yasuo Nanjo, Shunsaku Kashima, Seiji Nishimura, Chishû Ryû, Nobuo Takemura, Reikô Tani",A gangster tries to find redemption with the inadvertent help of an innocent shop girl and his jealous girlfriend will do anything to keep him.,7,657,"","","",,9,14,7,99.1153165420404,700
tt0024122,His Double Life,His Double Life,1933,1934-01-12,"Comedy, Drama",Unknown,USA,English,Arthur Hopkins,"Arnold Bennett, Clara Beranger",Eddie Dowling Pictures,"Roland Young, Lillian Gish, Montagu Love, Lumsden Hare, Lucy Beaumont, Charles Richman, Oliver Smith, Philip Tonge, Audrey Ridgewell, Regina DeValet","Priam Farrel is a celebrated artist but a social recluse. When his valet dies of a sudden illness, a mix-up leads to the body being identified as Farrel's. The timid artist then assumes the...",6.4,301,"","","",,16,5,6.4,95.2861691209956,640
tt0024124,His Private Secretary,His Private Secretary,1933,1933-06-10,"Comedy, Romance",Unknown,USA,English,Phil Whitman,Lewis D. Collins,Screencraft Productions,"Evalyn Knapp, John Wayne, Reginald Barlow, Alec B. Francis, Arthur Hoyt, Natalie Kingston, Patrick Cunning, Al St. John, Hugh Kidder, Mickey Rentschler","Dick Wallace secretly marries a minister's grand-daughter but his father, who thinks she is a gold digger, is opposed. She takes a job with the company under her maiden name to prove she's okay.",5.7,578,$ 9600,"","",,25,8,5.7,76.3359280565625,570
tt0024127,Hitlerjunge Quex,Hitlerjunge Quex,1933,1933-09-19,Drama,Unknown,Germany,German,Hans Steinhoff,"K.A. Schenzinger, K.A. Schenzinger",Universum Film (UFA),"Heinrich George, Berta Drews, Jürgen Ohlsen, Hermann Speelmans, Rotraut Richter, Karl Meixner, Claus Clausen, Franz Ramspott, Helga Bodemer, Franziska Kinz, Hermann Braun, Hans Richter","In the depths of the Great Depression and in the waning days of the crumbling Weimar Republic, a poor Berlin youth is torn between loyalty to his unemployed Communist father and his ever-growing fascination to the Hitler Youth movement.",5.8,1620,"","","",,13,1,5.8,81.7621972883049,580
tt0024130,L'uomo che voglio,Hold Your Man,1933,1933-07-07,"Drama, Romance",Unknown,USA,English,Sam Wood,"Anita Loos, Howard Emmett Rogers",Metro-Goldwyn-Mayer (MGM),"Jean Harlow, Clark Gable, Stuart Erwin, Dorothy Burgess, Muriel Kirkland, Garry Owen, Barbara Barondess, Elizabeth Patterson, Inez Courtney, Blanche Friderici, Helen Freeman",A woman is sent to a reformatory when her con artist lover flees after killing a man during a botched blackmail scheme.,6.8,1313,$ 266000,"","",,30,16,6.8,94.3364872467025,680
tt0024139,Hoopla,Hoopla,1933,1933-11-30,Drama,Unknown,USA,English,Frank Lloyd,"Kenyon Nicholson, Bradley King",Fox Film Corporation,"Clara Bow, Preston Foster, Richard Cromwell, Herbert Mundin, James Gleason, Minna Gombell, Roger Imhof, Florence Roberts, Damorès",A hula dancer at a carnival sets out to seduce the son of the show's manager.,6.5,229,"","","",,13,2,6.5,91.9694166588444,650
tt0024144,La casa della 56ª strada,The House on 56th Street,1933,1933-12-23,"Drama, History",Unknown,USA,English,Robert Florey,"Austin Parker, Sheridan Gibney",Warner Bros.,"Kay Francis, Ricardo Cortez, Gene Raymond, John Halliday, Margaret Lindsay, Frank McHugh, William 'Stage' Boyd, Hardie Albright, Sheila Terry, Phillip Reed, Philip Faversham, Walter Walker, Nella Walker","It is the World War I period, and Peggy Martin, a showgirl and mistress to London Fiske, marries her love, handsome Monte Van Tyle. They move into the house on 56th street and have a baby, ...",6.5,538,$ 211000,"","",,17,9,6.5,87.3207992994548,650
