,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000,decade
47985,tt0465963,1:01,1:01,2006,1/27/2006,Drama,92,"Denmark, UK",Danish,Annette K. Olesen,Kim Fupz Aakeson,Sigma Films,"Mohammed Al-Bakier, Joy K. Petersen, Anette St¯velb‡¶k, Helle Hertz, Subhi Hassan, Brian Lentz, Jonas Busekist, Paw Henriksen, Rose Copty, Hassim Al-Dogom, Thomas Kirschner, Khadije Nasser, Ahmed El-Daoud, Muhammed Samhi, Vasko Magdalinas","In a Copenhagen suburb the 19-year-old Per is found unconscious after having been badly beaten up. He is taken to hospital in a coma. The police have no clues, but the air is thick with ...",5.9,302,NA,NA,"$34,061 ",NA,3,11,5.9,84.97912,590,2000 - 2010
78825,tt5834036,1:54,1:54,2016,3/15/2017,"Drama, Sport",106,Canada,French,Yan England,Yan England,CinÈmaginaire Inc.,"Antoine Olivier Pilon, Sophie NÈlisse, Lou-Pascal Tremblay, David Boutin, Patrice Godin, Robert Naylor, Anthony Therrien, Guillaume Gauthier, Irdens Exantus, Karl-Antoine Suprice, Laurie-Jade Rochon, Benoit Finley, RenÈe Cossette, …mile Mailhiot, Ariane Jeudy","Tim, a shy 16 years old athlete, is both brilliant and talented. But the pressure he undergoes pushes him to the edge, where human limits reach the point of no return.",6.6,1335,NA,NA,NA,46,19,14,6.6,90.27389,660,2010 - 2020
52278,tt1002561,2:13,2:13,2009,4/25/2009,"Drama, Mystery, Thriller",96,USA,English,Charles Adelman,Mark Thompson,Anthem Pictures,"Mark Thompson, Mark Pellegrino, Teri Polo, Kevin Pollak, Dwight Yoakam, Patrick J. Adams, Jaime Alba, Jere Burns, E.J. Callahan, Deborah Carson, Rick Chambers, Greg Cromer, Don Danielson, Jonathan Decker, Kim Delgado","A police profiler has just returned from psychiatric leave only to find that he is caught up in a serial killer's rampage. Fighting to keep buried the trauma of his childhood, he must ...",4.9,1120,"$3,500,000 ",NA,NA,NA,14,3,4.9,66.06999,490,2000 - 2010
56147,tt1261041,2:22,2:22,2008,12/21/2010,"Crime, Drama, Thriller",104,Canada,English,Phillip Guzman,"Mick Rossi, Phillip Guzman",Lab4 Productions,"Mick Rossi, Robert Miano, Aaron Gallagher, Jorge A. Jimenez, Peter Dobson, Val Kilmer, Bruce Kirby, Sile Bermingham, Sean Power, Luis Caldeira, Brian Foyster, Eric Shani, Tom Knight, Laura McLean, Cheryl Meyer","The plan was easy; the job was not. On a snowy night a tight crew of four criminals plan to pull off a routine heist. When things go horribly wrong, friendship, loyalty and trust are pushed to the limit.",5.2,1290,NA,NA,NA,NA,19,5,5.2,69.39763,520,2000 - 2010
54372,tt1131724,2:22,2:22,2017,6/29/2017,"Drama, Mystery, Sci-Fi",98,"Australia, USA",English,Paul Currie,"Todd Stein, Todd Stein",2929 Productions,"Michiel Huisman, Teresa Palmer, Sam Reid, John Waters, Kerry Armstrong, Richard Davies, Maeve Dermody, Remy Hii, Simone Kessell, Mitchell Butel, Barry Quin, Zara Michales, Nancy Denis, Duncan Ragg, Jessica Clarke","A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",5.8,19143,NA,$422 ,"$3,945,729 ",NA,125,33,5.8,82.91405,580,2010 - 2020
48286,tt0472582,2:37,2:37,2006,8/17/2006,Drama,95,Australia,English,Murali K. Thalluri,Murali K. Thalluri,Kojo Pictures,"Teresa Palmer, Frank Sweet, Sam Harris, Charles Baird, Joel Mackenzie, Marni Russo, Clementine Mellor, Sarah Hudson, Gary Sweet, Amy Schapel, Xavier Samuel, Chris Olver, Camille Qurban, Olivia Furlong, Daniel Whyte","At 2:37, someone commits suicide in the school lavatory. The day is told up to that point from the viewpoint of six different students.",6.8,6918,AUD 1000000,NA,"$446,125 ",NA,77,42,6.8,96.92075,680,2000 - 2010
22373,tt0090564,3:15,3:15,1986,1/31/1986,"Crime, Drama, Thriller",86,USA,English,Larry Gross,"Sam Bernard, Michael Jacobs",Romax Productions,"Adam Baldwin, Jesse Aragon, Rene Auberjonois, Bradford Bancroft, Wendy Barry, Joseph Brutsman, John Scott Clough, Wayne Crawford, Danny De La Paz, Lori Eastside, Jeb Ellis-Brown, Deborah Foreman, Panchito GÛmez, Nancy Locke, Ed Lauter",Violent crime is routine. Organized drug trade runs rampant in the face of powerless authority. And a vicious street gang holds dominion with a savage reign of terror. Welcome to Lincoln ...,5.7,574,NA,NA,NA,NA,10,17,5.7,80.07208,570,1980 - 1990
73892,tt4161376,3:15 AM,3:15 AM,2018,10/31/2018,Horror,95,France,"French, Chinese, English","Fabien Delage, Nicolas Delage","Fabien Delage, Deuf",Fright House Pictures,"Nathalie Couturier, Soraya A., Laura Ogier, Christophe Battarel, Marie Christine Phan, FranÁois Phan, Yoke Wah Phan, Simone Nguyen, Liam Lavalley, Lucas Lesbre, Nicolas Delage, Marie Tixier, Lola Dubus, Nicolas Lancelin, LÈo Pochat",The First French Found Footage Horror Anthology.,5.7,277,NA,NA,NA,NA,5,NA,5.7,82.51381,570,2010 - 2020
50369,tt0822785,3:19,3:19,2008,6/20/2008,Drama,90,"Spain, Mexico",Spanish,Dany Saadia,"Dany Saadia, Alejandro ValdÈs",Fabrica Interactiva Films,"Miguel ‡Ångel Silvestre, FÈlix GÛmez, B·rbara Goenaga, Diana Bracho, Alexandra De La Mora, Juan D‡≠az, Pepe Galotto, SalomÈ JimÈnez, Jorge Lan, Luis Mottola","What if everything in life was down to chance? What if we couldn't escape fate? What do Galois, Bauhaus and The Unbearable Lightness of Being have in common? What if the sweat in our brow ...",5.5,105,NA,NA,"$498,453 ",NA,1,2,5.5,77.4951,550,2000 - 2010
49333,tt0497877,4:30,4:30,2005,6/29/2006,Drama,93,Singapore,"Korean, Mandarin, English",Royston Tan,"Royston Tan, Liam Yeo",NHK,"Young-jun Kim, Andrew Seow, Xiao Li Yuan","""""4:30"""" traces the relationship between Xiao Wu, an eleven year old Chinese Boy and his tenant Jung, a thirty-something Korean man. Told entirely from the perspective of the boy, Xiao Wu, ...",6.7,494,"$400,000 ",NA,$935 ,NA,5,23,6.7,91.09823,670,2000 - 2010
