imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0003037,Juve contre Fantômas,Juve contre Fantômas,1913,1913-09-08,"Crime, Drama",61,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,"René Navarre, Edmund Breon, Georges Melchior, Renée Carl, Yvette Andréyor, Laurent Morléas","In Part Two of Louis Feuillade's 5 1/2-hour epic follows FantÃ'mas, the criminal lord of Paris, master of disguise, the creeping assassin in black, as he is pursued by the equally resourceful Inspector Juve.",7,1349,"","","",,8,23,7,100.022255177233,700
tt0004181,Judith of Bethulia,Judith of Bethulia,1914,1914-03-08,Drama,61,USA,English,D.W. Griffith,"Thomas Bailey Aldrich, D.W. Griffith",Biograph Company,"Blanche Sweet, Henry B. Walthall, Mae Marsh, Robert Harron, Kate Bruce, Lillian Gish, J. Jiquel Lanoe, Gertrude Bambrick, Dorothy Gish, Harry Carey","A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader, but her plans get complicated once she falls for him.",6.1,1239,$ 40000,"","",,16,9,6.1,90.1254968699247,610
tt0007610,'49-'17,'49-'17,1917,1917-10-15,"Drama, Western",61,USA,English,Ruth Ann Baldwin,"William Wallace Cook, Ruth Ann Baldwin",Universal Film Manufacturing Company,"Joseph W. Girard, Leo Pierson, William Dyer, Mattie Witting, George C. Pearce, Jean Hersholt, Donna Drew",A retired judge comes West to restore a ghost town.,5.9,267,"","","",,12,2,5.9,84.3085154591292,590
tt0013122,La femme de nulle part,La femme de nulle part,1922,1922-07-26,Drama,61,France,French,Louis Delluc,Louis Delluc,"","Ève Francis, Gine Avril, Noémi Seize, Denise, Edmonde Guy, Roger Karl, André Daven, Michel Duran, Jean Wiener, Josie Barden, Bole, Pauline Carton, Jacqueline Chaumont, Jules de Spoly, Gérard","A woman appears at the house where she used to live a long time ago. The new inhabitants, a married couple with a toddler, welcome her to stay for the night. Meanwhile, the wife has to choose between family and adventure.",6.5,118,"","","",,1,1,6.5,91.2067363465623,650
tt0022619,Il segreto del dottore,Alias the Doctor,1932,1932-03-26,Drama,61,USA,English,"Michael Curtiz, Lloyd Bacon","Imre Földes, Houston Branch",First National Pictures,"Richard Barthelmess, Marian Marsh, Norman Foster, Adrienne Dore, Lucille La Verne, Oscar Apfel, John St. Polis, George Rosener",Karl is the workaholic adopted son while Stephan is the lazy one. They both go to Munich to study medicine and Karl is at the top of the class while Stephan is barely passing. When ...,6,240,"","","",,6,4,6,80.8867050228012,600
tt0023249,Il dottor Miracolo,Murders in the Rue Morgue,1932,1932-02-21,"Crime, Horror, Mystery",61,USA,"English, Danish, German",Robert Florey,"Edgar Allan Poe, Robert Florey",Universal Pictures,"Sidney Fox, Bela Lugosi, Leon Ames, Bert Roach, Betty Ross Clarke, Brandon Hurst, D'Arcy Corrigan, Noble Johnson, Arlene Francis","A mad scientist seeks to mingle human blood with that of an ape, and resorts to kidnapping women for his experiments.",6.4,3691,$ 190000,"","",,70,57,6.4,92.7091381233478,640
tt0023846,Broadway Bad,Broadway Bad,1933,1933-02-24,"Drama, Music",61,USA,English,Sidney Lanfield,"William R. Lipman, A. Washington Pezet",Fox Film Corporation,"Joan Blondell, Ricardo Cortez, Ginger Rogers, Adrienne Ames, Allen Vincent, Francis McDonald, Frederick Burton, Ronnie Cosby, Donald Crisp","Showgirl Joan Blondell, supported by her friend Ginger Rogers, fights for the custody of her son during a divorce hearing.",6,160,$ 239308,"","",,10,1,6,87.152576368356,600
tt0023949,I diplomaniaci,Diplomaniacs,1933,1933-05-12,"Comedy, Musical",61,USA,English,William A. Seiter,"Joseph L. Mankiewicz, Henry Myers",RKO Radio Pictures,"Bert Wheeler, Robert Woolsey, Marjorie White, Phyllis Barry, Louis Calhern, Hugh Herbert, Edgar Kennedy, Richard Carle","Barbers Willy Nilly and Hercules Glub have opened a barbershop in an Indian reservation, where they have no customers. When suddenly a white man asks for a shave, several Indians of the ...",6.5,264,$ 242000,"","",,17,15,6.5,97.3678730877312,650
tt0024221,The King's Vacation,The King's Vacation,1933,1933-02-25,"Comedy, Romance",61,USA,English,John G. Adolfi,"Ernest Pascal, Maude T. Howell",Warner Bros.,"George Arliss, Marjorie Gateson, Dudley Digges, Patricia Ellis, Florence Arliss, Dick Powell, O.P. Heggie, Vernon Steele, James Bell","A king finds himself with no purpose in his reign, abdicates his throne to return to the wife and child he left many years ago when he was called to duty to be the king of his country.",6.9,188,"","","",,10,2,6.9,100.064525106072,690
tt0024559,The Silk Express,The Silk Express,1933,1933-06-10,"Drama, Mystery, Thriller",61,USA,English,Ray Enright,"Houston Branch, Houston Branch",Warner Bros.,"Neil Hamilton, Sheila Terry, Arthur Byron, Guy Kibbee, Dudley Digges, Arthur Hohl, Allen Jenkins, Harold Huber, G. Pat Collins, Robert Barrat, Vernon Steele, Ivan F. Simpson","A trainload of silk puts Neil Hamilton on the fast track to murder in this full-throttle thrill ride costarring Sheila Terry and Guy Kibbee. As the demand for raw silk goes sky high, ...",6.1,140,"","","",,8,3,6.1,86.912503438165,610
